Título,Link,Tipo,Começa,Custo,Linguagem,Linguagem de Computação,Notas,Enviado por
Coding for Visual Learners: Learning JavaScript from Scratch,https://www.lynda.com/JavaScript-tutorials/frame-frameRate-frameCount/782143/806254-4.html?autoplay=true,curso,,Lynda.com membership,inglês,p5js,,
Online Studio Art curso in Computer Science,https://grayarea.org/learn/immersive/,classes,"September 8, 2020",-,inglês,,,
Creative Coding Bootcamp,https://sfpc.io/bootcamp/,classes,"September 4, 2020",$550 USD,inglês,,,
Creative Coding Essentials,https://timrodenbroeker.de/cursos/creative-coding-essentials/,curso,,5 dólares por mês,inglês,processing,,
Bauhaus Coding Workshop,https://timrodenbroeker.de/cursos/bauhaus-coding-workshop/,curso,,5 dólares por mês,inglês,processing,,
Xin Xin,https://www.youtube.com/channel/UCufOCDs5G1A4AffwmeV0XBw,youtube,,grátis,inglês,"p5js,ml5js",,
tim rodenbröker creative coding,https://www.youtube.com/channel/UCPwg5nDMQWzkAfb56_GvGpA,youtube,,grátis,inglês,processing,,
Recurse Center,https://www.recurse.com/,curso,,a definir,inglês,,,tracy
amish_ranpariya,https://www.instagram.com/amish_ranpariya/,instagram,,grátis,inglês,p5js,,nicholas
Rodjun,https://www.twitch.tv/rodjunjun,twitch,,grátis,portugês,"processing,p5js,ml5js",,
つぶやきProcessing,https://twitter.com/search?q=%23%E3%81%A4%E3%81%B6%E3%82%84%E3%81%8DProcessing,twitter,,grátis,japanese,"p5js,processing",,nicholas
Amy Goodchild,https://www.amygoodchild.com/blog,other,,grátis,inglês,p5js,,nicholas